model,train_f1,train_precision,train_recall,test_f1,test_precision,test_recall,f1_gap
XGBoost,0.9794293297942933,0.9805137289636847,0.9783473265576668,0.9461606354810238,0.9469964664310954,0.9453262786596119,0.03326869431326951
Random Forest,0.9920353982300885,0.9933540097474524,0.9907202828104287,0.940864960282436,0.941696113074205,0.9400352733686067,0.051170437947652414
GradientBoosting,0.9613771794305893,0.9603174603174603,0.962439239946973,0.9404553415061296,0.9339130434782609,0.9470899470899471,0.020921837924459674
SVM_RBF,0.9737480697110081,0.9722466960352423,0.9752540874944764,0.9383802816901409,0.9367311072056239,0.9400352733686067,0.035367788020867263
AdaBoost,0.9345509893455098,0.9199486301369864,0.9496243923994697,0.9262792714657415,0.9112627986348123,0.9417989417989417,0.008271717879768326
LogisticRegression,0.9246889325474787,0.913718723037101,0.9359257622624835,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.01992702778557398
